timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote
2020-03-20 03:00:00,6150.04000000,6168.99000000,6112.45000000,6156.35000000,2333.49352200,2020-03-20 03:59:59,14327846.96478257,26005,1190.67166400,7313111.42292244
2020-03-20 04:00:00,6156.42000000,6229.90000000,6115.99000000,6199.84000000,3290.49960700,2020-03-20 04:59:59,20311348.97426766,30963,1767.37827900,10913475.36714648
2020-03-20 05:00:00,6199.80000000,6287.95000000,6184.94000000,6218.72000000,3361.26418600,2020-03-20 05:59:59,20977407.78376766,31077,1471.03452600,9179905.51869352
2020-03-20 06:00:00,6218.55000000,6250.00000000,6178.01000000,6240.00000000,3027.07169000,2020-03-20 06:59:59,18814019.34521576,30399,1445.52568600,8985477.70584494
2020-03-20 07:00:00,6239.99000000,6350.00000000,6211.02000000,6318.39000000,5195.84001800,2020-03-20 07:59:59,32667458.68722394,45406,2754.07029700,17318433.25491789
2020-03-20 08:00:00,6318.41000000,6770.00000000,6310.58000000,6601.45000000,21232.76993800,2020-03-20 08:59:59,139152357.94861194,137420,11302.90840700,74048076.01853639
2020-03-20 09:00:00,6601.45000000,6757.01000000,6560.00000000,6756.62000000,10869.79355800,2020-03-20 09:59:59,72303695.42804186,80924,5494.29615300,36557442.54548560
2020-03-20 10:00:00,6756.62000000,6900.00000000,6651.90000000,6824.25000000,15711.05071400,2020-03-20 10:59:59,106629565.20578784,109024,7874.93275000,53496456.52156832
2020-03-20 11:00:00,6824.28000000,6878.70000000,6559.69000000,6659.99000000,14955.66181500,2020-03-20 11:59:59,100081243.85365753,108426,7215.76328900,48292362.66102024
2020-03-20 12:00:00,6659.99000000,6690.00000000,6531.00000000,6613.52000000,10308.41370800,2020-03-20 12:59:59,68039212.71093317,70681,4305.29083500,28426344.90436783
2020-03-20 13:00:00,6614.10000000,6616.34000000,6420.00000000,6545.13000000,12660.21526700,2020-03-20 13:59:59,82471070.73393413,83669,5769.52246200,37566542.56431390
2020-03-20 14:00:00,6545.51000000,6714.53000000,6532.19000000,6604.26000000,10722.39361800,2020-03-20 14:59:59,71159699.05409940,74913,5164.07967800,34273406.47195312
2020-03-20 15:00:00,6604.27000000,6642.83000000,6533.58000000,6614.66000000,5745.68994700,2020-03-20 15:59:59,37820165.41227818,46745,2818.12675200,18551980.83261294
